player_id,player,nfl_team,nfl_season,nfl_targets,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate,nfl_receptions,nfl_rec_yards,nfl_rec_tds,nfl_yac,nfl_yac_per_rec
61103,Jerry Jeudy,Browns,2025,114,24,8,0.3333333333333333,52,627,2,187,3.6
61107,Tyrell Shavers,Bills,2024,1,0,0,,1,69,1,72,72.0
61107,Tyrell Shavers,Bills,2025,23,3,1,0.3333333333333333,15,245,1,65,4.3
61211,Tee Higgins,Bengals,2022,112,29,17,0.5862068965517241,77,1066,7,309,4.0
61211,Tee Higgins,Bengals,2023,79,24,9,0.375,44,704,5,241,5.5
61211,Tee Higgins,Bengals,2024,114,34,14,0.4117647058823529,73,911,10,224,3.1
61211,Tee Higgins,Bengals,2025,103,42,19,0.4523809523809524,61,885,11,167,2.7
61212,Amari Rodgers,Packers,2022,25,5,3,0.6,17,208,1,69,4.1
61212,Amari Rodgers,Colts,2023,2,0,0,,0,0,0,0,0.0
61220,Laviska Shenault Jr.,Panthers,2022,32,2,1,0.5,27,272,1,335,12.4
61220,Laviska Shenault Jr.,Panthers,2023,11,0,0,,11,73,0,103,9.4
61220,Laviska Shenault Jr.,Chargers,2024,6,0,0,,5,36,0,46,9.2
61245,Kadarius Toney,Chiefs,2022,21,1,1,1.0,18,211,2,128,7.1
61245,Kadarius Toney,Chiefs,2023,39,2,0,0.0,28,209,1,175,6.3
61245,Kadarius Toney,Browns,2024,1,0,0,,0,0,0,0,0.0
61295,Dennis Houston,Cowboys,2022,7,3,2,0.6666666666666666,2,16,0,6,3.0
61324,Ihmir Smith-Marsette,Chiefs,2022,3,0,0,,1,15,0,5,5.0
61324,Ihmir Smith-Marsette,Panthers,2023,10,0,0,,8,51,0,50,6.3
61324,Ihmir Smith-Marsette,Giants,2024,0,0,0,,0,0,0,0,0.0
61327,Brandon Smith,Jets,2025,0,0,0,,0,0,0,0,0.0
61359,Josh Ali,Falcons,2022,1,0,0,,0,0,0,0,0.0
61361,Lynn Bowden Jr.,Patriots,2022,0,0,0,,0,0,0,0,0.0
61361,Lynn Bowden Jr.,Saints,2023,17,0,0,,12,97,0,77,6.4
61398,Justin Jefferson,Vikings,2022,189,43,22,0.5116279069767442,131,1821,8,634,4.8
61398,Justin Jefferson,Vikings,2023,104,23,9,0.391304347826087,70,1081,5,273,3.9
61398,Justin Jefferson,Vikings,2024,169,35,17,0.4857142857142857,107,1615,10,521,4.9
61398,Justin Jefferson,Vikings,2025,147,25,11,0.44,87,1068,2,455,5.2
61401,Racey McMath,Titans,2022,7,3,0,0.0,2,40,0,5,2.5
61418,Calvin Austin III,Steelers,2023,33,8,3,0.375,17,180,1,73,4.3
61418,Calvin Austin III,Steelers,2024,60,12,6,0.5,37,556,4,157,4.2
61418,Calvin Austin III,Steelers,2025,57,9,4,0.4444444444444444,31,372,3,129,4.2
61439,Donovan Peoples-Jones,Browns,2022,101,32,11,0.34375,63,867,3,200,3.2
61439,Donovan Peoples-Jones,Lions,2023,25,1,1,1.0,13,155,0,34,2.6
61441,Nico Collins,Texans,2022,65,16,12,0.75,37,481,2,144,3.9
